FACETS,BASETERM_NAME,ENFOODNAME
A03FM,"Soft drink, raspberry flavour",RASPBERRY SYRUP READY-TO-DRINK
A03BP,"Juice concentrate, apricots","raspberry syrup, undiluted"
A045A,Aioli or garlic sauce,"SAUCE, GARLIC, MAYONNAISE BASED-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: RECONSTITUTED FROM POWDER$FOOD PRODUCTION: COMMERCIAL, FAT USED UNKNOWN$BRANDNAME/PRODUCTNAME: KNOWN"
A03YH,Ratatouille,RATATOUILLE HOMEMADE
A03RX,Food for sporting people,RAVAGER 5  BIOHAZARD
A02AN,Scorpion fishes,RAW ROCKFISH
A0FAP,Alaska pollock,RAW ATLANTIC POLLOCK
A00RY,Celeries,RAW CELERY
A00VC,Wakame,RAW WAKAME SEAWEED
A03TS,Non dairy coffee creamer,VEGETARIAN COFFEE CREAM REPLACEMENT 10% FAT
A03RG,Ready-to-eat fish-based meal for children,Ready-to-eat fish-based meal for children
A01SG,Roe deer meat,VENISON MEAT ROASTED
A01SA,Deer fresh meat,VENISON N.S.
A00QG,Beetroots,RED BEET OR BEETROOT
A00TG,Ceps,RED BOLETUS FRESH
A0DGR,Courgette (edible flowers),Zucchini blossoms raw
A01SC,"Deer, red fresh meat",VENISON ROAST MEAT ONLY
A01SB,"Deer, fallow fresh meat",VENISON STEAK SWEDISH RAW
A02SM,Soft-ripened cheese with white and blue mould (cambozola type),RED CHEESE N.S. - CUBE
A01FP,Redcurrants,"Red currant,preservation method undefined,food/ingredient source undefined"
A04PP,Other fruit nectars,RED CURRANT FRUIT NECTAR
A01MR,"Jam, currants (red)",red currant jam
A039R,"Juice, red currant",RED CURRANT JUICE
A044Y,"Mayonnaise, low fat","SAUCE, COLD, MINCED MEAT ROLL"
A022M,"Bovine meat, dried","Viande des grisons,no packaging"
A01BD,Canned or jarred lentils,Red lentils canned
A03ZE,Sandwich with cheese and vegetable topping/filling,RED PEPPER & GOATS CHEESE SLICE
A001H,"Rice grain, red",RED RICE - COOKED
A028P,Atlantic salmon,Redfish
A02AM,Ocean perch,Redfish
A04RS,Marine fishes not identified,REDFISH FROZEN
A035J,Liquorice candies,"REGALIZE, LICORICE Y LIQUORICE"
A02YK,"Cheese, cheddar",REDUCED FAT CHEDDAR IRISH :MITCHELSTOWN LIGHT REDUCED FAT C
A00CD,Croissant from puff pastry,"VIENNESE CRESCENTS FROM YEAST DOUGH, HIGH FAT"
A01SF,Reindeer meat,REINDEER COLD SMOKED
A045N,Tartar sauce,RÉMOULADE SAUCE
A00SD,Rhubarbs,Rhubarb
A00BY,Rhubarb flan,RHUBARB CASSEROLE
A0BY4,Fruit juices (100% from named source),RHUBARB JUICE
A044L,Vinegar,Vinegar
A005G,"Rye bread and rolls, refined flour",WHEAT AND RYE BREAD SIFTED FLOUR C 3.5% FIBRE UNSWEETENED
A001M,Wheat and similar-,Wheat and similar-
A03MB,Beer,WHEAT BEER
A03BS,"Juice concentrate, black currant",RIBENA ORIGINAL BLACKCURRANT DRINK CONC
A00DR,"Rice, popped",Rice cakes vinegar flavoured
A006G,Extruded rice bread,RICE CRACKERS BROWN RICE SESAME SEED 4.5% FIBRE WASA RISKAKOR SLIGHTLY SALTED
A034Z,"Caramel, hard",WERTHER'S ORIGINAL
A041F,Risotto,RICE DISH
A03TM,Rice drink,RICE DREAM (NON-DAIRY ALTERNATIVE)
A00AS,Cream cheese cake,WELSH CHEESECAKE
A0F6M,"Rice grain, glutinous","Rice for risotto,"
A041B,Milk rice,RICE MILK SUGAR AND BUTTER
A03PE,Brandy,WEINBRAND
A040Z,"Rice based dishes, cooked",RICE MASH (1)
A04JG,Balsamic vinegar and similar,"Vinegar, balsamic"
A008E,Glass noodle,RICE NOODLES GLASS NOODLES
A044N,"Vinegar, apple",VINEGAR
A001C,Rice and similar-,RICE N.S.-FACETS_DESC: COOKING METHOD: COOKED (N.S)$PRESERVATION METHOD: UNDEFINED
A012D,Lima beans (without pods),WAX BEANS COOKED
A00KN,Winter melon,WAXGOURD FRESH
A003G,Rice starch,RICE STARCH
A00KJ,Watermelons,Watermelons
A00PC,Beans (with pods) and similar-,WAX BEAN FRIED OR WOKED
A00DQ,Rice rolled grains,Rice rolled grains
A000K,Cereals and cereal primary derivatives,RICE SEMOLINA
A041H,Rice and meat meal,RICE WITH MEAT (1)
A00ND,Watercresses,"Watercresses, raw"
A03XH,Meat terrine,"RILLETTES, PORK, TRADITIONAL"
A00BJ,"Cake marbled, with chocolate",Ring cake
A02RG,Ripened cheese,Ripened cheese
A040E,Filled canapé,Rissole
A013M,Chickpeas (dry),roasted chick-peas
A05QH,Porchetta,"ROASTED MEAT, COLD N.S."
A023X,Cooked other poultry meat,"ROASTED MEAT, COLD N.S.-FACETS_DESC: SOURCE: CHICKEN"
A009T,Fine bakery wares,ROCK CAKES
A00LN,Roman rocket,Rocket salad / Arugula
A011M,Roesti,"ROESTI, ANONYMOUS"
A00HK,Other Bulb vegetables,WATERCHESTNUT
A00QF,Root and tuber vegetables (excluding starchy- and sugar-),WATERCHESTNUT
A16BR,Meat sauce,Sauce from cooking meat
A03ZA,Sandwich with cheese topping/filling,ROLL WITH CHEESE-FACETS_DESC: COOKING METHOD (FATTIEST): COOKING METHOD NOT APPLICABLE
A03DN,Filtered tap water,"Water, tap water, filtered"
A03FB,"Soft drink, banana flavour","WATER-BASED, BANANA, ANONYMOUS"
A04PX,Bottled water,"WATER, TABLE, BRAND KNOWN"
A00DJ,"Rolled oats, instant",Rolled oats
A00DV,Rye rolled grains,ROLLED RYE
A03DT,Bottled drinking water,"Water, spring, unflavoured,no packaging"
A02RJ,Soft-ripened washed-rind cheese (limburger type),ROMADUR (SMALLER AND SOMEWHAT MILDER LIMBURGER)
A03JP,Rooibos,Rooibos for infusion
A00QJ,Celeriacs,Root celery
A03LM,Rose infusion,ROSE HIP INFUSION
A01FR,Rose hips and similar-,"ROSE HIP, DRIED"
A0CFR,Rose hips,Rose hips / Rosehips
A01MZ,"Jam, rose hips",ROSE HIPS JAM
A0EXM,"Vitamin D (cholecalciferol, ergocalciferol)",Vitamin D (ANONYMOUS)
A03JE,Rose infusion flowers,Rose water
A042A,Fruit soup,ROSEHIP SOUP FROM POWDER FORTIFIED READY-TO-EAT
A00YF,Rosemary,Rosemary
A006X,Roti,Roti
A0CFV,Rowan berries,Rowanberries
A0CVG,Royal jelly,Royal jelly
A01CK,Satsumas,"SATSUMAS, WEIGHED WITH PEEL"
A047J,Rum essence,RUM EXTRACT
A03PJ,Rum,Rum
A03DM,Ice from tap water,"Water, ice"
A02DA,Sardines and sardine-type fishes,"SARDINES, BREADED AND FRIED"
A0FBZ,Canned sardines,"SARDINES, CANNED IN OIL"
A0EVG,Vitamins,Vitamins
A00DY,Processed rye-based flakes,Rye flakes
A006A,Rye crisp bread,RYE CRISPBREAD
A02DB,European sardine,Sardine
A02DC,Sardinella or oil sardine,SARDINE CANNED
A003J,Rye flour,Rye flour
A03TN,Rye drink,"Rye drink, milk imitate"
A003L,"Rye flour, medium","Rye flour, bolted (extraction rate 85 %) (type 1370)"
A003K,"Rye flour, refined","RYE FLOUR, TYPE 580"
A003M,"Rye flour, wholemeal","Rye flour, whole grain (type 1800)"
A001K,Rye grain,"RYE,WHOLE GRAIN"
A043N,Malt extract,RYE MALT
A003P,Rye groats,RYE MEAL >1700
A03ZG,Sandwich with meat and vegetable topping/filling,SANDWICH WITH CHICKEN MEAT
A03ZH,Sandwich with fish and vegetable topping/filling,"SANDWICH, FISH AND VEGETABLE FILLING"
A03TB,Yeast based formulations,Saccharomyces boulardii - capsula
A00BF,Chocolate-based cakes,Sachertorte (similar to devil's food cake made from eggs)
A03NS,Liqueurs,Safari
A015Y,Safflower seeds,SAFFLOWER SEED
A00TH,Saffron milk cap,Saffron milk cap
A00YH,Sage,SAGE
A02CF,Coalfish,Saithe
A03GC,Fortified bottled water,WATER WITH VITAMINS AND MINERALS ADDED
A0EYX,Salted seafood,Salted seafood
A0EQV,Puffs/curls-type extruded snack,SALTY BISCUITS PUFF PASTRY
A02DE,Herrings,SALTED HERRING SALTED
A0EYT,Salt-preserved fish,Salt-preserved fish
A040G,Vol au vent,VOL AU VENT WITH SAUSAGE
A010H,Other tropical root and tuber vegetables,"WATER CHESTNUTS, CANNED, DRAINED"
A16FL,Chinese water chestnut,Water chestnut
A042R,"Salt, iodised","Salt, table"
A042B,Salads,"SALAD, EASY TO SPREAD, FRESH, LIQUID, UNDEFINED, WHOLE, UNDEFINED, COMMERCIAL N.S."
A00KY,Head lettuces,SALAD VEGETABLES
A042C,Mixed green salad,SALAD VEGETABLES
A025V,Cooked salami,"Salami, cooked, beef"
A0C75,Salmons,SALMON FILLET
A029J,Brown trout,Salmon trout
A0FBS,Canned salmon,SALMON PRESERVE
A02EX,"Salmon roe, pacific","Salmon roe, pacific"
A0CHH,Wasabi roots,WASABI
A00RA,Salsifies,Salsify
A00RC,Scorzonera,"SALSIFY, FRESH, FLESH, RAW"
A00NQ,Salsify leaves,SALSIFY
A014R,Walnuts,WALNUTS (JUGLANS REGIA)
A0DXG,Common walnut,WALNUTS
A037K,Walnut oil,Walnut oil
A014L,Hazelnuts,WALNUT
A00EQ,Oat porridge,ANONYMOUS BRINTA
A03NY,Coffee liqueur,TIA ANONYMOUS
A00GJ#F28.A07GT,Pak-choi,PAKSOI (SH 81)-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: FLESH$COOKING METHOD: STIR FRIED/SAUTED$PRESERVATION METHOD: UNDEFINED
A0BZD#F03.A06JL,"Meat and vegetable soup, clear","SOUP, CLEAR WITH VERMICELLI - LIQUID"
A04KT#F26.A07XE,Cereal and cereal-like flours not separately listed,PANCAKE FLOUR N.S.
A00BN#F28.A07HP,"Croissant, filled with chocolate",PAIN AU CHOCOLATE/CHOCOLATE CROISSANT
A00SC#F28.A07HS,Palm hearts,"PALM, HEARTS PALM, RAW"
A008Q#F04.A005E,Quick bread dough,WHOLEMEAL SODA BREAD
A01QE#F27.A0DZB,Citrus fruit peel,"Orange peel,bought"
A0BZ9#F28.A07MR,"Mixed vegetables soup, with puree or pieces","SOUP, THICK WITH VEGETABLES - RECONSTITUTED FROM POWDER - MILK N.S. - WATER"
A01NN#F27.A0DZB,Canned or jarred fruit,ORANGE CANNED
A03TH#F04.A00QZ,Milk imitates,"ORGEAT  COMMERCIAL;N.S.,NOT;ENRICHED/FORTIFIED"
A01ST#F03.A06JA,Ratites fresh meat,"OSTRIDGE, STEAK"
A011N#F28.A07KQ,Fries (finger chips),"OVEN CHIPS, THICK CUT, FROZEN, BAKED"
A02QT#F07.A073L,"Cheese, juustoleipa",OVEN CHEESE 17-23 G FAT
A0EXH#F27.A02HG,Calcium,Oyster calcium
A02VZ#F25.A07VY,"Cheese, ossau-iraty","Ossau-Iraty raw milk (AOC),no packaging,brand/product name undefined"
A0ERE#F28.A07GF,Filled (stuffed) pastas,"Pasta, stuffed"
A03FS#F04.A06MB,"Cola mix, flavoured cola","Soft drink, Cola, with cafeine"
A03EE#F19.A07PR,"Fruit soft drink, grape red","SOFT DRINK, GRAPE"
A03ED#F28.A07JN,"Fruit soft drink, gooseberry","Soft drink, blackcurrant, with gas"
A023G#F26.A07XD,Cooked cured (or seasoned) meat,PASTRAMI
A040H#F04.A0C75,Fish-based canapé,Pastry based on laminated dough with salmon
A02AG#F01.A0QSR,Miscellaneous demersal marine fishes,Pargo bream
A014G#F10.A0CQE,Brazil nuts,Paranut
A007V#F28.A07GL,Fresh stuffed egg pasta,"PASTA, EGG, FRESH, FILLED, WITH MUSHROOMS, BOILED"
A040Y#F28.A07GL,"Pasta, with mixed or unspecified filling, cooked","PASTA, FILLED N.S.-FACETS_DESC: COOKING METHOD: BOILED$PRESERVATION METHOD: FRESH"
A02RX#F07.A074L,"Cheese, camembert",SOFT-RIPENED CHEESE: CAMEMBERT 45% FIDM
A02RV#F07.A074L,"Cheese, brie",SOFT-RIPENED CHEESE: BRIE CHEESE
A01DK#F28.A07HS,Crab apples,Sour apples
A012F#F28.A07GY,Soyabeans (without pods),"Soybeans, mature seeds, dry roasted"
A00LH#F28.A07HS,Wild chicories,"WITLOOF, RAW"
A0DCH#F28.A07GL,Soyabeans for consumption (dry),"Soyabeans, boiled"
A017H#F27.A00YC,"Mints, dry","SPEARMINT,DRIED"
A022Z#F28.A07GL,"Corned pork, uncooked",SPARERIBS SALTED AND CURED
A014J#F28.A07GG,Chestnuts,"SPANISH CHESTNUTS, COOKED"
A0DBS#F28.A07HQ,Peanuts and similar-,"Nuts, coctail type"
A000F#F28.A07KG,Oat and similar-,Oat
A0ESM#F04.A000G,Porridge water based (ready to eat),OATMEAL PORRIDGE
A03KY#F04.A043N,Cocoa beverages,ANONYMOUS MILO CHOC MALT DRINK FORTIFIED
A00YY#F28.A07GM,Wormwoods infusion leaves,WORMWOODS FRESH
A0F0H#F26.A07XD,Flowers or parts of flower used as spices or similar,"SPICES, NOT SPECIFIED"
A00HJ#F28.A07GL,Welsh onions,"Onion, spring,boiled in water,fresh/no treatment,food/ingredient source undefined"
A02NY#F07.A06ZT,Traditional nordic fermented milks,"sour milk (3,2% m.m.), ANONYMOUS"
A02PB#F10.A077C,Viili,"SOUR WHOLE MILK 1% FAT, LOW-LACTOSE"
A03NR#F08.A032J,Noble rot wine,"Wine, dessert, dry"
A02CB#F01.A08X5,Hakes,"Southern hake, raw"
A0F3D#F26.A07XD,Animal and vegetable fats/oils,OIL
A0DBM#F28.A07GL,Soyabeans and similar-,"Soya beans, boiled"
A03SK#F33.A0C17,Vitamin and mineral supplements,ONCE A DAY CHEWABLE IRON PLUS VITAMIN C  ANONYMOUS
A030H#F10.A0CJP,"Cheese, gorgonzola",WHITE GORGONZOLA-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: SPREAD
A01AZ#F27.A0BAL,Canned or jarred legumes,WHITE KIDNEY BEAN CANNED IN WATER
A16FH#F28.A07GR,Phyllo dough,Phyllo dough N S
A02BT#F28.A07GX,"Cods, hakes, haddocks",WHITE FISH (UNSPECIFIED)
A02QF#F07.A070P,Fresh uncured cheese,"ANONYMOUS, FAT 5%"
A03KJ#F28.A07GL,"Coffee drink, café macchiato",white coffee- ESPO
A02EY#F28.A07KP,"Salmon roe, atlantic","Truit roe,cooking method undefined,chilled/refrigerated cooled at 5-8°C,food production undefined"
A0BZ5#F27.A02GB,Canned seafood,SHRIMPS PLAIN CANNED
A0F0P#F27.A02DE,Marinated / pickled fish,PICKLED HERRING OR ROLLMOPS
A0F1T#F01.A057F,Animal blood,PIG BLOOD
A02HA#F01.A11BK,Clams,Small clam (Chamelea gallina)
A029B#F28.A07GR,Smelt,Smelt fish fried
A02YM#F28.A07JV,"Cheese, emmental",Smoked cheese Ementaler
A0EYQ#F27.A01QV,Marinated meat,Skewer
A0EYF#F28.A07GZ,Mammals meat,SKEWERS
A00TJ#F26.A07XD,Truffles,TRUFFLE FRESH
A014F#F03.A06JE,Almonds sweet,SLIVERED ALMONDS
A03RS#F04.A02LZ,Food for weight reduction,"SLIMFAST, RECONSTITUTED FROM POWDER, SEMI-SKIMMED MILK, UNDEFINED"
A0DDD#F28.A07HS,Périgord black truffles,"TRUFFLE, BLACK"
A03JR#F28.A07GG,Other Herbal infusion materials from leaves and herbs,PEPPERMINT INFUSION DRY
A02MB#F10.A077H,Goat milk,SKIMMED GOAT MILK
A0FBD#F28.A07HS,Sea catfishes,"SHEAT- FISH /CAT FISH,RAW,EDIBLE PART"
A02MS#F28.A07GL,"Whey, sour",SHEEP WHEY
A02RC#F28.A07GX,"Cheese, feta",SHEEP CHEESE FILLED STRUDEL DOUGH
A029S#F01.A08E0,Miscellaneous coastal marine fishes,Sharpsnout seabream
A01LC#F28.A07GR,Common banana,PLANTAIN-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: FLESH$COOKING METHOD: IN FLOUR AND FRIED$PRESERVATION METHOD: UNDEFINED
A02FD#F28.A0BA1,Crustaceans,"Shellfish n.s.,whole,cooked n.s.,preservation method undefined,food/ingredient source undefined"
A03XF#F28.A07GS,Meat burger (no sandwich),SHOARMABURGER-FACETS_DESC: COOKING METHOD (FATTIEST): FRIED
A02DY#F28.A07GP,Albacore,"TUNA, ALBACORE, STEAMED UNDER PRESSURE"
A01GR#F20.A07QK,Damsons,"PLUM, DAMSON IN JUICE"
A00SB#F28.A0BA1,Leeks,Shallot
A032D#F27.A031G,Poached eggs,"Poached egg,chicken/hen,food/ingredient source undefined"
A027X#F28.A07GY,Northern pike,"PIKE, OVEN COOKED"
A0F0N#F27.A01BV,Dried nuts and related flours and powders,"PINE NUTS, PIGNOLIAS, DRIED"
A0EZA#F27.A02GB,Marinated / pickled seafood,"SHRIMP, MARINADED, FLESH, COOKING METHOD NOT APPLICABLE"
A00TS#F28.A07GR,Shiitake,Shiitake
A02DJ#F01.A09B0,Sharks,Shortfin mako shark
A01PQ#F28.A07HS,"Fruit compote, pineapple","PINEAPPLE, FRESH, COMPOTE, UNDEFINED, RAW"
A01NR#F06.A06XY,Canned or jarred pear,PEARS CANNED IN SYRUP FRUIT AND SYRUP
A0BAR#F03.A0CEA,Marrowfat pea (fresh seeds),PEAS RAW
A0EQX#F26.A07XD,Chips/crisps,SNACKS
A01PM#F19.A07PG,"Fruit compote, peach","Peach compote, ANONYMOUS"
A00PV#F28.A07GR,Black eyed peas (with pods),"PEA, COW IN POD-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: FLESH$COOKING METHOD: COOKED WITH FAT (N.S)$PRESERVATION METHOD: FRESH"
A0DCD#F27.A012G,Peas (dry) and similar-,"PEA, DRY"
A03EP#F28.A07JN,"Fruit soft drink, pear",PEAR JUICE DRINKS CARBONATED NOT CANNED NOT LOW CA
A012P#F10.A0CJK,Peanuts (fresh seeds),"PEANNUTS, SALTED"
A008A#F04.A02QE,Dried stuffed durum pasta,Tortellini stuffed with cheese
A01RN#F26.A07XE,Horse fresh meat,SMOKED MEAT HORSE N.S.-FACETS_DESC: SOURCE: HORSE
A01QV#F26.A07XE,Bovine fresh meat,SMOKED MEAT (BEEF) N.S.-FACETS_DESC: SOURCE: BEEF
A023P#F28.A07JV,Cooked cured (or seasoned) bovine meat,SMOKED MEAT (BEEF) N.S.
A029R#F01.A09N9,Marine fish,Triggerfish
A04NE#F26.A07XE,Other cured meat,SMOKED MEAT-FACETS_DESC: SOURCE: HORSE$BRANDNAME/PRODUCTNAME: UNDEFINED$SALT CONTENT: NORMALLY SALTED
A020R#F28.A07GL,Bovine other slaughtering products,"TROTTERS AND TAILS, BOILED"
A00PY#F24.A07VV,Garden peas (with pods),"PEAS, RAW"
A01CB#F28.A07HS,Mandarins and similar-,TANGERINES MANDARINS CLEMENTINES WEIGHED WITH PEEL & PIPS
A02NL#F07.A06ZL,"Yoghurt, sheep milk, flavoured","Yogurt, fruit (forest fruit), low fat (2.5% milkfat), ANONYMOUS,"
A16GR#F04.A03JE,Fennel infusion,"Tea beverage, rose and fennel infusion"
A00AC#F21.A07SE,"Biscuits, spelt meal","COOKIE, SPELT-HONEY-STICK, ANONYMOUS"
A03ET#F22.A07SS,"Fruit soft drink, raspberry","SYRUP, RASPBERRY"
A033S#F27.A01DT,Molasses,"SYRUP LEMONADE, GRENADINE"
A03VM#F26.A07XE,Legumes based dishes,"TOFU BURGER, BIOBIO, PLUS"
A00AG#F04.A02MN,Choux pastry,ZWAANTJE
A005L#F28.A07GX,Multigrain bread and rolls,ANONYMOUS KORNSPITZ
A0EXE#F33.A0C17,Zinc,ZINC 25MG  NATURE S AID
A006J#F28.A07HC,Puffed wheat textured bread,Toast (crusty bread)
A03SQ#F03.A06JH,Bee-produced formulations,"ANONYMOUS, Propolis complex"
A00EA#F21.A07SE,Spelt rolled grains,"CEREALS, SPELT FLAKES, ANONYMOUS"
A008V#F24.A0F3B,Waffle dough/mixture,"Candies, ANONYMOUS SNACKFOOD US, ANONYMOUS Caramel Cookie Bars"
A03HX#F10.A077J,Tea powder ingredients and extracts,"TEA POWDER, SWEETENED-FACETS_DESC: SUGAR CONTENT: SWEETENED$BRANDNAME/PRODUCTNAME: KNOWN"
A008H#F28.A07GY,Yeast leavened bread doughs,Yeast leavened bread doughs
A0FAL#F28.A07GR,Megrims,"ANONYMOUS=MEGRIM (SEA,LEAN,FLATFISH) FRESH,FRIED"
A03QV#F10.A16FQ,"Follow-on formula, based on protein hydrolysates, liquid","HA Premium NAN ANONYMOUS HYPOALLERGIC with ANONYMOUS, DHA & ARA (RTD 13.1gr powder per 100ml)"
A04PB#F26.A07XE,Other sweetening ingredients,SUGAR CUBE WITH ART. SWEET.-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: UNDEFINED$BRANDNAME/PRODUCTNAME: KNOWN
A01LL#F28.A07GY,Sweetsops,"Sugar apple,roasted/baked in oven n.s.,preservation method undefined"
A03PR#F10.A06HX,Mixtures of beer with other alcoholic drinks,STRONG ALE BARLEY WINE
A007C#F26.A07XE,Bread stuffing,"STUFFING, SAGE AND ONION, HOMEMADE"
A02NV#F07.A06ZL,Kefir,"Kefir / Kephir, 2,5% fat (type 'ANONYMOUS', 'ANONYMOUS', 'ANONYMOUS')"
A03RZ#F03.A06JL,Carbohydrate-electrolyte solutions for sports people,SPORT BEVERAGE
A035N#F26.A07XE,Basic sweet masses,Spread speculoos
A010E#F28.A07GV,Mexican yam beans,YAM-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: FLESH$COOKING METHOD: DEEP FRIED$PRESERVATION METHOD: FRESH
A02FV#F28.A07GG,Spiny and rock lobsters,"SPINY LOBSTER, COOKED, MOIST HEAT"
A00HT#F28.A07HS,Plum tomato,"TOMATO, SAUCE TYPE, RED RIPE, RAW"
A00JQ#F02.A067D,Courgettes and similar-,"SQUASH, ALL VARIETIES, RAW"
A019R#F28.A07KG,Star anise fruit,"Star anise fruit,dried/semi-dried n.s.,bought,ambient department"
A00RV#F28.A07GL,Bamboo shoots,"SPROUT, BAMBOO, UNDEFINED, UNDEFINED, BOILED"
A00FV#F28.A07GL,Brussels sprouts,"Sprouts, Brussels,boiled in water,preservation method undefined,food/ingredient source undefined"
A02SA#F25.A07VX,"Cheese, coulommiers","Coulommiers pasteurized,type of packaging undefined"
A0F7V#F08.A046P,Table-top sweeteners in powder form,"SWEETENER, TABLETOP, ASPARTAME, SACHET - RISTORA"
A0F7X#F08.A046P,Table-top sweeteners in tablets,"SWEETENER,  TABLETOP, ASPARTAME, TABLET, ""ANONYMOUS"","
A0DLN#F28.A07GL,Baby corn,SWEETCORN BABY FROZEN BOILED
A025Z#F04.A01SP,Head cheese,"SULZ N.S., CHICKEN, COOKING METHOD NOT APPLICABLE"
A02MK#F26.A07XD,Cream and cream products,CREAM
A00KF#F28.A07HS,Melons,Sugar Melon (orange flesh)
A02PJ#F10.A077G,Milk powder,"Cow milk powder, semi-skimmed"
A01BL#F28.A07KQ,Chestnut puree (castanea vulgaris),"SWEET CHESTNUT MASS, DEEP-FROZEN"
A01FK#F19.A07PF,Cowberries,COWBERRY FRESH
A000N#F28.A07HS,Buckwheat,Raw buckwheat
A012T#F28.A07GL,Borlotti or other common beans (dry),Red beans dried boiled w/o salt
A00KR#F24.A07VT,Leafy vegetables,"RAW VEGETABLES, LEAFY VEGETABLES, MEAN"
A030Y#F25.A07VY,"Cheese, reblochon","Reblochon raw milk (AOC),type of packaging undefined,brand/product name undefined"
A00FL#F01.A05FC,Flowering brassica,"Rapini, turnip raw"
A03YB#F28.A07GZ,"Mixed vegetables, grilled","VEGETABLES, GRILLED"
A03PG#F04.A06SV,Gin,RASPBERRY GIN
A039P#F10.A077M,"Juice, black currant",RIBENA LIGHT RTD BLACKCURRANT LOW SUGAR
A037L#F03.A06JL,Other plant oils,RICE BRAN OIL
A03SP#F04.A044N,Miscellaneous supplements or nutraceuticals,Weight loss supplement with apple vinegar- tablet
A01NJ#F23.A07TT,Marmalade,ANONYMOUS MARMALADE WITH SWEETENER
A008F#F28.A07GL,"Noodle, rice",RICE NOODLES BOILED
A036F#F04.A001C,Water-based desserts spoonable,Rice dessert
A005B#F28.A07KG,"Wheat bread and rolls, white with rice",RICE CRISPBREAD
A012V#F27.A0BAL,Kidney bean (dry seeds),"RED KIDNEY BEANS, DRIED, BOILED IN UNSALTED WATER"
A02RN#F03.A06JB,"Cheese, munster",Red cheese
A03TA#F03.A06JH,Enzyme-based formulations,"Revogan, Lactose-OK"
A01XT#F28.A07GS,Deer liver,REINDEER LIVER FRIED
A03NC#F27.A014R,Wine-like drinks,"Vin de fruit,walnut"
A030P#F10.A0CJP,Firm-ripened bloomy (white mould) or washed rind cheese,VIEUX PANÚ
A04QG#F26.A07XE,Unsweetened flavoured spirits,Vieux
A011Z#F28.A07GL,Beans (fresh seeds without pods) and similar-,RED KIDNEY BEANS-DRIED BOILED
A03CX#F03.A06JL,"Juice, multi-vegetable",VEGETABLE JUICE MIXED
A01QQ#F04.A01ME,Chocolate coated dried fruit,"Raisins, chocolate coated"
A01XQ#F28.A07GY,Rabbit liver,"Rabbit liver, cooked, grilled"
A038X#F07.A075P,Butter oil,"ANONYMOUS GOURMET BUTTER-OIL BLEND, 70% FAT"
A02RZ#F26.A07XE,"Cheese, chevre mould ripened","Sainte Maure n.s.,no packaging"
A0FCB#F28.A07MS,Salted cod,Salted cod
A023B#F28.A07GL,Cured seasoned bovine meat,SALTED BEEF BRISKET BOILED
A00ES#F10.A0CQE,Rye porridge,"RYE FLAKE PORRIDGE, NO SALT"
A0EXL#F33.A0C17,"Vitamin E      (tocopherols, tocotrienols)",VITAMIN E CAPSULE  ANONYMOUS
A030B#F27.A02LV,Firm-ripened blue mould-veined cheese,"Saint Agur,type of packaging undefined,brand/product name undefined"
A03FZ#F04.A0EVG,Functional drinks,VITOFIT VITAMIN DRINK E.G. LIDLS
A03SD#F03.A06JD,Dietary foods for special medical purposes,SAMARIN POWDER
A0ETM#F27.A0DEC,Starches,"SAGO, RAW"
A00AZ#F28.A07HQ,Nut cream cake,WALNUT GATEAUX
A028E#F28.A07GL,Diadromous fish,"SALMON/ RAINBOW TROUT, BOILED, WITHOUT SALT"
A042F#F28.A07KX,Greek salad,SALAD GREEK (5)
A01TT#F28.A07GV,Animal fresh fat tissues,"Rillons (small pork cuts),no packaging,brand/product name undefined"
A0EXP#F33.A0C17,"Vitamin B12 (cyanocobalamin, hydroxocobalamin, methylcobalamin)",VITAMIN B12 10MG  ANONYMOUS
A0EXS#F33.A0C17,"Vitamin B6   (pyridoxine, pyridoxamine, pyridoxal)",VITAMIN B6 WITH CALCIUM CAPSULE  ANONYMOUS
A0EXN#F33.A0C17,Vitamin C     (ascorbic acid),VITAMIN C 1000MG  ANONYMOUS
A02DP#F28.A07HS,Spiny dogfish,"ROCK SALMON DOGFISH, RAW"
A00LM#F28.A07HS,Roman rocket and similar-,"ROCKET, RAW"
A003R#F28.A07GS,Rye starch,RICE STARCH
A001G#F28.A07GL,"Rice grain, mixed","Rice, wild"
A0EXY#F33.A0C17,Vitamin B1   (thiamine),VITAMIN B1 50MG  BENERVA
A16GN#F27.A001M,Gluten,ANONYMOUS wheat gluten
A030K#F10.A0CJP,"Cheese, roquefort",ROQUEFORT-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: CUBE
A00PD#F28.A07HS,Runner beans (with pods),"RUNNER BEANS, RAW"
A0DCJ#F28.A07GL,Runner beans (dry),Runner  beans boiled
A039Y#F03.A06JL,"Juice, mango",ANONYMOUS MANGO JUICE DRINK RTD
A040L#F04.A023K,Cheese-based canapé,"ROLL, CHEESE AND HAM"
A0DLK#F28.A07GR,Romanesco cauliflowers,Romanesco
