ENFOODNAME,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
"Live animal of the taxonomic genus Liobagrus spp., within the Family Amblycipitidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Liobagrus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Liobagrus",A0LEE#F02.A0EJV,Liobagrus (generic) (as animal),Liobagrus spp.,
"Live animal of the taxonomic species Stellifer rastrifer, within the Family Sciaenidae. The organisms are commonly known as Rake stardrum. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Stellifer-rastrifer.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Stellifer rastrifer",A0QNP#F02.A0EJV,Rake stardrum (as animal),Stellifer rastrifer,
"Live animal of the taxonomic genus Neoopisthopterus spp., within the Family Pristigasteridae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Neoopisthopterus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Neoopisthopterus",A0H0Z#F02.A0EJV,Neoopisthopterus (generic) (as animal),Neoopisthopterus spp.,
"Live animal of the taxonomic species Scomberomorus semifasciatus, within the Family Scombridae. The organisms are commonly known as Broad-barred king mackerel or Thazard tigré or Carite tigre. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Scomberomorus-semifasciatus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Scomberomorus semifasciatus",A093F#F02.A0EJV,Broad-barred king mackerel (as animal),Scomberomorus semifasciatus,Thazard tigré$Carite tigre
"Live animal of the taxonomic genus Cetomimus spp., within the Family Cetomimidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Cetomimus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Cetomimus",A0NZV#F02.A0EJV,Cetomimus (generic) (as animal),Cetomimus spp.,
Live plant organism of the taxonomic group Secale cornutum. The group is relevant for the list of Botanicals. The plant is a member of the family Poaceae. The part considered is by default the whole living organism.,A15NE#F02.A0BA0,Secale cornutum (as plant/fungus),Secale cornutum,
Live plant organism of the taxonomic group Rubiaceae (family). The group is relevant for the list of Botanicals. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Rubiaceae,A13CV#F02.A0BA0,Rubiaceae - family (as plant),Rubiaceae (family),
The group includes any type of Cream sprayable (it is usually marketed in rigid containers under pressure of a whipping gas). The ingredients added to make it ready-to-spray may be considered minor ingredients. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Whipped_cream£https://www.google.co.uk/search?tbm=isch&q=spray cream,A02MN#F02.A06BA$F27.A02LT$F28.A0EKQ$F33.A0C5L$F33.A0C5J,Cream sprayable,,
"Live animal of the taxonomic species Megapitaria aurantiaca, within the Family Veneridae. The organisms are commonly known as Golden callista or Vernis orange or Almeja roja. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Megapitaria aurantiaca£https://en.wikipedia.org/wiki/Veneridae",A11DH#F02.A0EJR,Golden callista (as animal),Megapitaria aurantiaca,Vernis orange$Almeja roja
"Live animal of the taxonomic species Epinephelus chabaudi, within the Family Serranidae. The organisms are commonly known as Moustache grouper or Mérou moustache or Mero bigotudo. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Epinephelus-chabaudi.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Epinephelus chabaudi",A09F2#F02.A0EJV,Moustache grouper (as animal),Epinephelus chabaudi,Mérou moustache$Mero bigotudo
"Internal organ of the urinary system playing many roles in the body, but particularily acting as a blood filter",A069N,Kidney (as part-nature),,
"Live animal of the taxonomic species Arca navicularis, within the Family Arcidae. The organisms are commonly known as Indo-Pacific ark or Arche navicule. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Arca navicularis£https://en.wikipedia.org/wiki/Arca_(genus)",A112Z#F02.A0EJR,Indo-Pacific ark (as animal),Arca navicularis,Arche navicule
"The food item has a fat content which, when rounded with the standard rules of rounding, equals 66 % (weight/weight)",A075K,66 % fat,,
"Infusion materials from leaves and herbs of the plant classified under the species Rhodiola rosea L., commonly known as Golden root infusion leaves. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Rhodiola_rosea",A0D5H#F01.A0EAR$F02.A0EKX$F27.A0D5H$F33.A0C1Q,Golden root infusion leaves,Rhodiola rosea L.,
"Live animal of the taxonomic species Martialia hyadesi, within the Family Ommastrephidae. The organisms are commonly known as Sevenstar flying squid or Encornet étoile or Pota festoneada or Sevenstar flying Squid. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Martialia hyadesi£https://en.wikipedia.org/wiki/Martialia",A0B8A#F02.A0EJR,Sevenstar flying squid (as animal),Martialia hyadesi,Encornet étoile$Pota festoneada$Sevenstar flying Squid
"Live animal of the taxonomic species Hippocampus fuscus, within the Family Syngnathidae. The organisms are commonly known as Sea pony. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Hippocampus-fuscus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Hippocampus fuscus",A0N6S#F02.A0EJV,Sea pony (as animal),Hippocampus fuscus,
"Live animal of the taxonomic genus Psychroteuthis spp., within the Family Psychroteuthidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=325311£https://en.wikipedia.org/wiki/Psychroteuthis",A12DH#F02.A0EJR,Psychroteuthis (generic) (as animal),Psychroteuthis spp.,
"Live animal of the taxonomic species Percilia gillissi, within the Family Percichthyidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Percilia-gillissi.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Percilia",A0PVZ#F02.A0EJV,Percilia gillissi (as animal),Percilia gillissi,
"The food item has an alcohol content which, when rounded with the standard rules of rounding, equals 32 % (volume/volume)",A07DC,32 % alcohol v/v,,
"Live animal of the taxonomic species Raja stellulata, within the Family Rajidae. The organisms are commonly known as Starry skate. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Raja-stellulata.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Raja stellulata",A09DE#F02.A0EJV,Starry skate (as animal),Raja stellulata,
"Live animal of the taxonomic species Palinurellus gundlachi, within the family Synaxidae. The organisms are commonly known as Caribbean furry lobster or Cacahouète des Caraïbes or Langostita del Caribe. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=382887£https://en.wikipedia.org/wiki/Palinurellus_gundlachi",A0ZKL#F02.A0EJQ,Caribbean furry lobster (as animal),Palinurellus gundlachi,Cacahouète des Caraïbes$Langostita del Caribe
"Live animal of the taxonomic genus Strophidon spp., within the Family Muraenidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Strophidon£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Strophidon",A0M8Q#F02.A0EJV,Strophidon (generic) (as animal),Strophidon spp.,
"Live animal of the taxonomic genus Rasborichthys spp., within the Family Cyprinidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Rasborichthys£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Rasborichthys",A0KLD#F02.A0EJV,Rasborichthys (generic) (as animal),Rasborichthys spp.,
"Live animal of the taxonomic genus Rhynchohyalus spp., within the Family Opisthoproctidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Rhynchohyalus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Rhynchohyalus",A0H6Z#F02.A0EJV,Rhynchohyalus (generic) (as animal),Rhynchohyalus spp.,
"The group includes Potatoes or similar tubers sharing the same pesticide MRL, as defined by EU pesticide regulation. £https://en.wikipedia.org/wiki/Potato£https://www.google.co.uk/search?tbm=isch&q=Potatoes and similar",A0DPP#F01.A05KG$F02.A0F5F$F27.A0DPP$F33.A0C51,Potatoes and similar-,Solanum tuberosum L.,(a) potatoes and similar-
"The group includes any type of Food Additives other than flavours, colours and artificial sweeteners. The part consumed/analysed is by default the whole marketed unit or a homogeneous representative portion.£https://en.wikipedia.org/wiki/Food_additives",A047R#F02.A06CF,"Food additives other than flavours, colours and artificial sweeteners",,
"Live animal of the taxonomic genus Cynopanchax spp., within the Family Poeciliidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Cynopanchax£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Cynopanchax",A0NJG#F02.A0EJV,Cynopanchax (generic) (as animal),Cynopanchax spp.,
"Context sensitive descriptor, referring to the degree of presence of one or more characterising components of a food (may refer to concentration of extracts, of alcohol etc.). In this case the level is higher than the average expected in absence of information.",A06HX,Strong,,
The group includes any type of popped Rye made by popping/puffing rye grains. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://www.google.co.uk/search?tbm=isch&q=popped rye grain,A00DX#F02.A068F$F27.A001K$F28.A07LL$F33.A0C46,Rye popped,,
Plants mainly grown for the production of spice buds. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Spices,A05VN#F02.A0EKE,Spices buds (as plant),,
"Live animal of the taxonomic species Patinopecten caurinus, within the Family Pectinidae. The organisms are commonly known as Weathervane scallop or Pecten géant du Pacifique or Vieira gigante del Pacífico or Weathervane Scallop. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Patinopecten caurinus£https://en.wikipedia.org/wiki/Scallop",A0B2B#F02.A0EJR,Weathervane scallop (as animal),Patinopecten caurinus,Pecten géant du Pacifique$Vieira gigante del Pacífico$Weathervane Scallop
Product of oil manufacture obtained by pressing of almond kernels.,A0EHN#F02.A0F0Y$F23.A07TV$F27.A0DVM,Almond kernel expeller (feed),,
"Live animal of the taxonomic species Microsternarchus bilineatus, within the Family Hypopomidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Microsternarchus-bilineatus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Microsternarchus",A0JPD#F02.A0EJV,Microsternarchus bilineatus (as animal),Microsternarchus bilineatus,
"Live animal of the taxonomic species Grapsus albolineatus, within the family Grapsidae. The organisms are commonly known as Mottled crab. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=459356£https://en.wikipedia.org/wiki/Grapsus",A0ZZA#F02.A0EJQ,Mottled crab (as animal),Grapsus albolineatus,
"Infusion materials from flowers of the plant classified under the species Chamaemelum nobile (L.) All. or Anthemis nobilis (L.) All., commonly known as Common camomile or Common chamomile. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Chamaemelum_nobile",A0D9D#F01.A0E2K$F02.A0EKZ$F27.A0D9D$F33.A0C1Q,Common chamomile,Chamaemelum nobile (L.) All.$Anthemis nobilis (L.) All.,Common camomile
"Live animal of the taxonomic species Scapharca brasiliana, within the Family Arcidae. The organisms are commonly known as Incongruous ark or Arche incongrue or Arca pepitona. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Scapharca brasiliana£https://en.wikipedia.org/wiki/Scapharca",A0AVB#F02.A0EJR,Incongruous ark (as animal),Scapharca brasiliana,Arche incongrue$Arca pepitona
"Live animal of the taxonomic species Liza dumerili, within the Family Mugilidae. The organisms are commonly known as Grooved mullet. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Liza-dumerili.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Liza dumerili",A0PCT#F02.A0EJV,Grooved mullet (as animal),Liza dumerili,
"Live animal of the taxonomic genus Kyphosus spp., within the Family Kyphosidae. The organisms are commonly known as Kyphosus sea chubs nei or Kyphosus calicagères nca or Kyphosus chopas nep. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Kyphosus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Kyphosus",A0R0T#F02.A0EJV,Kyphosus sea chubs (generic) (as animal),Kyphosus spp.,Kyphosus sea chubs nei$Kyphosus calicagères nca$Kyphosus chopas nep
"Fungi classified under the species Ustilago maydis (Persoon) Roussel, commonly known as Corn smuts or Mexican truffles. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Ustilago_maydis£https://www.google.co.uk/search?tbm=isch&q=Corn+smuts",A0DDV#F01.A0EDQ$F02.A067H$F27.A0DDV$F33.A0C51,Corn smuts,Ustilago maydis (Persoon) Roussel,Mexican truffles
"Fruits with inedible peel from the plant classified under the species Saba senegalensis (A.DC.) Pichon, commonly known as Weda.The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Saba_senegalensis",A18BN#F01.A061Q$F02.A0ELC$F27.A01LV$F33.A0C51,Weda,Saba senegalensis (A.DC.) Pichon,
"Live animal of the taxonomic species Myrakeena angelica, within the Family Ostreidae. The organisms are commonly known as Angel oyster or Huître des anges or Ostra de los ángeles. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Myrakeena angelica£https://en.wikipedia.org/wiki/Ostrea",A116P#F02.A0EJR,Angel oyster (as animal),Myrakeena angelica,Huître des anges$Ostra de los ángeles
"Live animals of the taxonomic species Aedes phoeniciae, in the Culicidae family. The part considered is by default the whole living organism. £https://en.wikipedia.org/wiki/List_of_Aedes_species",A19GD#F02.A0EJP,Aedes phoeniciae (as animal),Aedes phoeniciae,
Live plant organism of the taxonomic group Gleditsia sinensis Lam. The group is relevant for the list of Botanicals. The plant is a member of the family Fabaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Gleditsia_sinensis,A14NR#F02.A0BA0,Gleditsia sinensis Lam. (as plant),Gleditsia sinensis Lam.,
Product of the manufacture of inulin from roots of Cichorium intybus L. consisting of extracted and mechanically pressed slices of chicory and subsequent drying. The (soluble) chicory carbohydrates have been partly extracted.,A0BHV#F02.A0F0Y$F23.A07TV$F27.A05GR,Dried chicory pulp (feed),,
"Live animal of the taxonomic species Argas persicus, in the Argasidae family. The organisms are commonly known as Fowl ticks. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Argas_persicus",A197H#F02.A0EJP,Argas persicus (as animal),Argas persicus,Fowl ticks
"Group/item (specifically used in the domain of biological monitoring). The group includes any type of chicken fresh meat/fresh fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A04DR,Chicken fresh meat / fat tissue,,Fowl fresh meat / fat tissue
"Live animal of the taxonomic species Hyporhamphus unicuspis, within the Family Hemiramphidae. The organisms are commonly known as Simpletooth halfbeak. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Hyporhamphus-unicuspis.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Hyporhamphus unicuspis",A0MNZ#F02.A0EJV,Simpletooth halfbeak (as animal),Hyporhamphus unicuspis,
"Live animal of the taxonomic species Sphyraena japonica, within the Family Sphyraenidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Sphyraena-japonica.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Sphyraena japonica",A0V8R#F02.A0EJV,Sphyraena japonica (as animal),Sphyraena japonica,
"Live animal of the taxonomic species Albula glossodonta, within the Family Albulidae. The organisms are commonly known as Roundjaw bonefish or Banane lèvre ronde or Macabí boca redonda. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Albula-glossodonta.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Albula glossodonta",A0HPB#F02.A0EJV,Roundjaw bonefish (as animal),Albula glossodonta,Banane lèvre ronde$Macabí boca redonda
"Live animal of the taxonomic species Haliotis midae, within the Family Haliotidae. The organisms are commonly known as Perlemoen abalone or Ormeau de Mida or Oreja de mar. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=207660£https://en.wikipedia.org/wiki/Haliotis_midae",A0AKA#F02.A0EJR,Perlemoen abalone (as animal),Haliotis midae,Ormeau de Mida$Oreja de mar
"Live animal of the taxonomic genus Cosmochilus spp., within the Family Cyprinidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Cosmochilus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Cosmochilus",A0KBG#F02.A0EJV,Cosmochilus (generic) (as animal),Cosmochilus spp.,
Live animal of the taxonomic group Ascidiacea. The organisms are commonly known as Sea squirts nei or Ascidiens nca or Ascidias nep or Ascidians. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Ascidiacea£https://en.wikipedia.org/wiki/Ascidiacea,A0AP6#F02.A0EJR,Ascidiacea - Sea squirts (generic) (as animal),Ascidiacea,Sea squirts nei$Ascidiens nca$Ascidias nep$Ascidians
Live plant organism of the taxonomic group Equisetum palustre L. The group is relevant for the list of Botanicals. The plant is a member of the family Equisetaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Equisetum_palustre,A14GN#F02.A0BA0,Equisetum palustre L. (as plant),Equisetum palustre L.,
"Freshwater fish of the species Labeo rohita, commonly known as Indian carp or Roho labeo or Rohu. The part consumed/analysed is by default undefined. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.£https://en.wikipedia.org/wiki/Roho_labeo£https://www.google.co.uk/search?tbm=isch&q=edible fish Roho labeo",A0F8D#F01.A04TV$F02.A0EMD$F27.A0F8D$F33.A0C39,Roho labeo,Labeo rohita,Rohu
"The group includes any type of rolled Rye grains. Rolled cereals are made by rolling into flat flakes the cereal grains, usually without adding additional ingredients. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://www.google.co.uk/search?tbm=isch&q=Rye+rolled+grains",A00DV#F02.A068G$F27.A001K$F28.A07LH$F33.A0C46,Rye rolled grains,,
"Live animal of the taxonomic genus Rondeletiola spp., within the Family Sepiolidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=138480£https://en.wikipedia.org/wiki/Rondeletiola",A126F#F02.A0EJR,Rondeletiola (generic) (as animal),Rondeletiola spp.,
"Live animal of the taxonomic genus Breitensteinia spp., within the Family Akysidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Breitensteinia£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Breitensteinia",A0LEM#F02.A0EJV,Breitensteinia (generic) (as animal),Breitensteinia spp.,
"Live animal of the taxonomic species Sufflamen albicaudatus, within the Family Balistidae. The organisms are commonly known as Bluethroat triggerfish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Sufflamen-albicaudatus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Sufflamen albicaudatus",A0YDJ#F02.A0EJV,Bluethroat triggerfish (as animal),Sufflamen albicaudatus,
"Pulses (dried legume seeds) from the plant classified under the species Vigna aconitifolius (Jacq.) Marechal, commonly known as Mat bean (dry seeds) or Moth bean (dry). The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Mat_bean_£https://www.google.co.uk/search?tbm=isch&q=Mat bean (dry seeds)",A013G#F01.A05HC$F02.A0ERV$F27.A013G$F28.A07KG$F33.A0C4V,Mat bean (dry seeds),Vigna aconitifolius (Jacq.) Marechal,Moth bean (dry)
"Live plant organism of the taxonomic group Vernonanthura phosphorica (Vell.) H.Rob, Vernonia polyanthes Less. The group is relevant for the list of Botanicals. The plant is a member of the family Asteraceae. The part considered is by default the whole living organism.£http://www.worldfloraonline.org/taxon/wfo-0000015889",A161P#F02.A0BA0,Vernonanthura phosphorica (Vell.) H.Rob (as plant),Vernonanthura phosphorica (Vell.) H.Rob$Vernonia polyanthes Less.,
"Live animal of the taxonomic species Neomyxus leuciscus, within the Family Mugilidae. The organisms are commonly known as Acute-jawed mullet. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Neomyxus-leuciscus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Neomyxus leuciscus",A0PDJ#F02.A0EJV,Acute-jawed mullet (as animal),Neomyxus leuciscus,
Canary grass as living plant including all members of the taxonomic group Phalaris canariensis L. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Phalaris_canariensis,A0E8V#F02.A0EJM,Canary grass (as plant),Phalaris canariensis L.,
"Live animal of the taxonomic species Plectorhinchus cinctus, within the Family Haemulidae (=Pomadasyidae). The organisms are commonly known as Crescent sweetlips. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Plectorhinchus-cinctus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Plectorhinchus cinctus",A0QHC#F02.A0EJV,Crescent sweetlips (as animal),Plectorhinchus cinctus,
"Live animal of the taxonomic species Bohadschia atra, within the Family Holothuriidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Bohadschia atra£https://en.wikipedia.org/wiki/Bohadschia",A12YJ#F02.A0EJR,Bohadschia atra (as animal),Bohadschia atra,
Live plant organism of the taxoconomic group Schmaltzia copallinum (L.) Small. The group is relevant for the list of Botanicals. The plant is a member of the family Anacardiaceae. The part considered is by default the whole living organism.£http://www.worldfloraonline.org/taxon/wfo-0001243915,A177L#F02.A0BA0,Schmaltzia copallinum (L.) Small (as plant),Schmaltzia copallinum (L.) Small,
"Live plant organism of the taxonomic group Agathosma betulina (P.J.Bergius) Pillans, Barosma betulina (P.J.Bergius) Bartl. & H.L.Wendl. The group is relevant for the list of Botanicals. The plant is a member of the family Rutaceae. The plant is commonly known as Buchu. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Agathosma_betulina",A0DZL#F02.A0EKC,Buchu (as plant),Agathosma betulina (P.J.Bergius) Pillans$Barosma betulina (P.J.Bergius) Bartl. & H.L.Wendl.,
Coffee as living plant including all members of the taxonomic group Coffea L. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Coffea,A065J#F02.A0EKC,Coffee (as plant),Coffea L.,
"Establishments which includes all phases from breeding, gestation, farrowing, lactation, weaning, and subsequently growing the pigs to market weight. ",A1A9M,Farrow-to-finish,,
"Live animal of the taxonomic species Hippocampus histrix, within the Family Syngnathidae. The organisms are commonly known as Thorny seahorse. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Hippocampus-histrix.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Hippocampus histrix",A0N7B#F02.A0EJV,Thorny seahorse (as animal),Hippocampus histrix,
"Live animal of the taxonomic genus Schizodon spp., within the Family Anostomidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Schizodon£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Schizodon",A0JCV#F02.A0EJV,Schizodon (generic) (as animal),Schizodon spp.,
"The group includes any type of Dragée, sugar coated, such as Jordan almonds. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Dragee£https://www.google.co.uk/search?tbm=isch&q=Dragée, sugar coated",A035F#F02.A06EP$F04.A032H$F04.A033R$F10.A0CJP$F28.A07HN$F33.A0C4E,"Dragée, sugar coated",,Dragee
This term applies when a food is contained in a primary package (in contact with the food) made of Aluminium,A07PH,Aluminium,,
The group includes any type of Sardine oil. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Fish_oil£https://www.google.co.uk/search?tbm=isch&q=Sardine oil,A038P#F02.A06AR$F27.A02DA$F28.A0C02$F33.A0C58,Sardine oil,,
"Live animal of the taxonomic genus Dormitator spp., within the Family Eleotridae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Dormitator£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Dormitator",A0T5L#F02.A0EJV,Dormitator (generic) (as animal),Dormitator spp.,
"Live animal of the taxonomic species Pecten raveneli Dall, within the Family Pectinidae. The organisms are commonly known as Ravenel Scallop. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=394080£https://en.wikipedia.org/wiki/Pecten_(genus)",A0B1Y#F02.A0EJR,Ravenel Scallop (as animal),Pecten raveneli Dall,
"Live animal of the taxonomic genus Gorgonocephalus spp., within the Family Gorgonocephalidae. The organisms are commonly known as Gorgons head basket-stars nei. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=123586£https://en.wikipedia.org/wiki/Gorgonocephalus",A12RK#F02.A0EJR,Gorgons head basket-stars (generic) (as animal),Gorgonocephalus spp.,Gorgons head basket-stars nei
Live animal of the taxonomic family Abyssocottidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/FamilySummary.php?family=Abyssocottidae£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Abyssocottidae,A0XLK#F02.A0EJV,Abyssocottidae (as animal),Abyssocottidae,
"Live animals of the taxonomic species Culiseta bergrothi, in the Culicidae family. The part considered is by default the whole living organism. £https://en.wikipedia.org/wiki/Culiseta",A19JF#F02.A0EJP,Culiseta bergrothi (as animal),Culiseta bergrothi,
"Live animal of the taxonomic species Squatina formosa, within the Family Squatinidae. The organisms are commonly known as Taiwan angleshark or Ange de mer moinillon or Angelote de Taiwan. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Squatina-formosa.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Squatina formosa",A0FZS#F02.A0EJV,Taiwan angleshark (as animal),Squatina formosa,Ange de mer moinillon$Angelote de Taiwan
"Live animal of the taxonomic species Octopus dollfusi, within the Family Octopodidae. The organisms are commonly known as Marbled octopus or Poulpe nain or Pulpo marmóreo. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Octopus dollfusi£https://en.wikipedia.org/wiki/Octopus_(genus)",A0B3E#F02.A0EJR,Marbled octopus (as animal),Octopus dollfusi,Poulpe nain$Pulpo marmóreo
"Live animal of the taxonomic species Ostrea lurida, within the Family Ostreidae. The organisms are commonly known as Yaquina oyster or Huître plate yaquina or Ostra yaquina. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=542155£https://en.wikipedia.org/wiki/Ostrea_lurida",A0B08#F02.A0EJR,Yaquina oyster (as animal),Ostrea lurida,Huître plate yaquina$Ostra yaquina
"Live animal of the taxonomic genus Pterocaesio spp., within the Family Caesionidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Pterocaesio£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Pterocaesio",A0PFH#F02.A0EJV,Pterocaesio (generic) (as animal),Pterocaesio spp.,
"Live animal of the taxonomic species Gymnoclinus cristulatus, within the Family Stichaeidae. The organisms are commonly known as Trident prickleback. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Gymnoclinus-cristulatus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Gymnoclinus cristulatus",A0SRB#F02.A0EJV,Trident prickleback (as animal),Gymnoclinus cristulatus,
Amino sugar (monosaccharide) being part of the structure of the polysaccharides chitosan and chitin. Produced by the hydrolysis of crustacean and other arthropods exoskeletons or by fermentation of a grain such as corn or wheat,A0BSE#F02.A0F0Y$F23.A07TV,Glucosamine (Chitosamine) (feed),,
