ENFOODNAME,ENFOODNAME_SIMPLE,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
Live fishes,Live fishes,A0YEZ#F02.A0EJV,Diplocrepis (generic) (as animal),Diplocrepis spp.,
"Feed-Related, Animal Feed","Feed-related, Animal feed",A0BMN#F02.A0F0Y$F23.A07TV,Milk permeate / - Milk permeate powder (feed),,
Tucum and Fruits used as fruit and Awara palm fruits and FA-04.1 Unprocessed fruit and vegetables,"Tucum, Fruits used as fruit, Awara palm fruits, FA-04.1 Unprocessed fruit and vegetables",A0DRZ#F01.A05SK$F02.A0ELC$F27.A0DRZ$F33.A0C51,Awara palm fruits,Astrocaryum vulgare Mart.,
Live Crustaceans,Live crustaceans,A0A5V#F02.A0EJQ,Dromia (generic) (as animal),Dromia spp.,Sponge Crab
Live Fishes,Live fishes,A0XRH#F02.A0EJV,Slime flounder (as animal),Microstomus achne,
Live Fishes,Live fishes,A08CL#F02.A0EJV,Torpedo sand perch (as animal),Diplectrum maximum,
Live fishes,Live fishes,A0JGJ#F02.A0EJV,Semaprochilodus (generic) (as animal),Semaprochilodus spp.,
Miscellaneous tropical and sub-tropical fruits,"Miscellaneous tropical and sub-tropical fruits, Fruits used as fruit, Kaki and similar-, FA-04.1 Unprocessed fruit and vegetables",A01HP#F01.A061Q$F02.A0ELC$F27.A01HP$F33.A0C51,Kaki and similar-,,
LIVE MOLLUSCS,Live molluscs,A10FY#F02.A0EJR,Brown cup-and-saucer (as animal),Crucibulum scutellatum,Goufique brune$Pocacho corrugado
LIVE FISHES,Live fishes,A0QBR#F02.A0EJV,Inermiidae (as animal),Inermiidae,
live plants,Live plants,A142R#F02.A0BA0,Cibotium barometz (L.) J. Sm. (as plant),Cibotium barometz (L.) J. Sm.,
"Calamondin, Calamondins, FA-04.1 Unprocessed fruit and vegetables, Fruits used as fruit","Calamondin, Fruits used as fruit, Calamondins, FA-04.1 Unprocessed fruit and vegetables",A01CC#F01.A05XC$F02.A0ELC$F27.A01CC$F33.A0C51,Calamondins,Citrus madurensis Lour.$Citrus microcarpa Bunge$Citrus mitis Blanco,Calamansi$Acid orange$Calamondin orange$Chinese Orange$Panama orange
Live Molluscs,Live molluscs,A108J#F02.A0EJR,Shining top-shell (as animal),Calliostoma conulus,Troque petit cone$Peonza luciente
LIVE FISHES,Live fishes,A0KFE#F02.A0EJV,Long pectoral-fin minnow (as animal),Macrochirichthys macrochirus,
LIVE MOLLUSCS,Live molluscs,A0B2Z#F02.A0EJR,North Pacific giant octopus (as animal),Octopus dofleini,Poulpe géant$Pulpo gigante
Live Fishes,Live fishes,A0V5D#F02.A0EJV,Tetragonuridae (as animal),Tetragonuridae,
live fishes,Live fishes,A0YCP#F02.A0EJV,Balistes (generic) (as animal),Balistes spp.,
LIVE FISHES,Live fishes,A0G7H#F02.A0EJV,Cruriraja (generic) (as animal),Cruriraja spp.,
LIVE FISHES,Live fishes,A0TBQ#F02.A0EJV,Eyebrow goby (as animal),Oxyurichthys ophthalmonema,
LIVE FISHES,Live fishes,A0849#F02.A0EJV,Pelecus (generic) (as animal),Pelecus spp.,Minnow (freshwater)
LIVE FISHES,Live fishes,A0N5F#F02.A0EJV,Notopogon (generic) (as animal),Notopogon spp.,
Live fishes,Live fishes,A0NDA#F02.A0EJV,Agrostichthys (generic) (as animal),Agrostichthys spp.,
LIVE FISHES,Live fishes,A0PVC#F02.A0EJV,Coreoperca (generic) (as animal),Coreoperca spp.,
food flavours,Food flavours,A06NN#F02.A06CD,Fish flavour,,
Live fishes,Live fishes,A0REV#F02.A0EJV,Heterochromis (generic) (as animal),Heterochromis spp.,
"Feed-related, animal feed, cotton seeds","Feed-related, Animal feed, Cotton seeds",A0BEQ#F02.A0F0Y$F23.A07TV$F27.A0CYR,Cotton seed - expeller (feed),,
Live fishes,Live fishes,A0H4Y#F02.A0EJV,Nansenia (generic) (as animal),Nansenia spp.,
Live fishes,Live fishes,A0JNM#F02.A0EJV,Sternarchorhamphus (generic) (as animal),Sternarchorhamphus spp.,
Cassia that is Bark and Chinese cassia skin and FA-12.2.1 Herbs and spices,"Cassia, Bark, Chinese cassia bark, FA-12.2.1 Herbs and spices",A0CYG#F01.A05VQ$F02.A066X$F27.A0CYG$F33.A0C2M,Chinese cassia bark,Cinnamomum cassia (L.) J.Presl$Cinnamomum aromaticum Nees,Cassia buds
LIVE FISHES,Live fishes,A0GTQ#F02.A0EJV,Platanichthys (generic) (as animal),Platanichthys spp.,
Feed related Animal prey Rice grain,"Feed-related, Animal feed, Rice grain",A0BCH#F02.A0F0Y$F23.A07TV$F27.A0BCX,"Rice, pre-gelatinized (feed)",,
LIVE FISHES,Live fishes,A0B77#F02.A0EJV,Blackfin goosefish (as animal),Lophius gastrophysus,Baudroie pêcheuse$Rape pescador
Ripened cheese,"Ripened cheese, Hard, Milk, Ripening, Cheesemaking, FA-01.7.2 Ripened cheese",A02ZV#F02.A06BN$F10.A0CJP$F27.A02LT$F28.A0C6F$F28.A0C6E$F33.A0C5F,"Cheese, ragusano",,
Live Birds,Live birds,A172P#F02.A0EJX,Band-rumped Storm Petrel (as animal),Hydrobates castro$Oceanodroma castro$Thalassidroma castro,Band-rumped Storm-petrel$Band-rumped Storm-Petrel
LIVE FISHES,Live fishes,A0J4V#F02.A0EJV,Featherfin tetra (as animal),Hemigrammus unilineatus,
Dairy-based ice creams and similar that is Milk and FA-03. Edible ices and FA-14.1.4 season drinks,"Dairy-based ice creams and similar, Milk, FA-03. Edible ices, FA-14.1.4 Flavoured drinks",A02QD#F02.A0ENY$F04.A02LT$F33.A0C53$F33.A0C1T,Milkshakes,,
LIVE PLANTS,Live plants,A17GL#F02.A0BA0,Abies alba Mill. (as plant),Abies alba Mill.,
LIVE FISHES,Live fishes,A0L7J#F02.A0EJV,Whitelipped eel catfish (as animal),Paraplotosus albilabris,
Live Insects And Arachnids,Live insects and arachnids,A19KR#F02.A0EJP,Sergentomyia minuta (as animal),Sergentomyia minuta,
live molluscs,Live molluscs,A132Q#F02.A0EJR,Cionidae (as animal),Cionidae,
Food flavours,Food flavours,A06LT#F02.A06CD,Carrot flavour,,
LIVE FISHES,Live fishes,A0R3A#F02.A0EJV,Arabian butterflyfish (as animal),Chaetodon melapterus,
Live Insects And Arachnids,Live insects and arachnids,A19RF#F02.A0EJP,Culicoides tauricus (as animal),Culicoides tauricus,
Hakes,"Hakes, Fish meat, Hakes, FA-09.1.1 Unprocessed fish",A02CB#F01.A050Q$F02.A0EMD$F27.A02CB$F33.A0C39,Hakes,Merluccius spp.,
live fishes,Live fishes,A0Y2M#F02.A0EJV,Longtail sole (as animal),Apionichthys dumerili,
live plants,Live plants,A14TS#F02.A0BA0,Ilex pubescens Hook. & Arn. (as plant),Ilex pubescens Hook. & Arn.$Ilex pubescens var. glabra H.T.Chang,
Live Fishes,Live fishes,A0KXT#F02.A0EJV,Diplomystes nahuelbutaensis (as animal),Diplomystes nahuelbutaensis,
live plants,Live plants,A179X#F02.A0BA0,Catalpa bignonioides Walter (as plant),Catalpa bignonioides Walter,
live fishes,Live fishes,A0RQA#F02.A0EJV,Tristramella sacra (as animal),Tristramella sacra,
New zealand spinach,"New zealand spinach, Leaves used as leafy vegetables, New Zealand spinaches, FA-04.1 Unprocessed fruit and vegetables",A00MK#F01.A05FL$F02.A0EKV$F27.A00MK$F33.A0C51,New Zealand spinaches,Tetragonia tetragonioides (Pallas) ). Kuntze,
LIVE FISHES,Live fishes,A0FJK#F02.A0EJV,Hemiscyllium (generic) (as animal),Hemiscyllium spp.,
Live molluscs,Live molluscs,A11RR#F02.A0EJR,Limaria (generic) (as animal),Limaria spp.,
Live fishes,Live fishes,A0SQP#F02.A0EJV,Mosshead warbonnet (as animal),Chirolophis nugator,
LIVE MOLLUSCS,Live molluscs,A10XL#F02.A0EJR,Jester cowrie (as animal),Cypraea scurra,Porcelaine bouffon
Live fishes,Live fishes,A0T2M#F02.A0EJV,Speckled sandperch (as animal),Parapercis hexophtalma,Pinge pintade
live fishes,Live fishes,A0MRZ#F02.A0EJV,Eeyorius (generic) (as animal),Eeyorius spp.,
Live Birds,Live birds,A1AED#F02.A0EJX,Sahel Bush-sparrow (as animal),Gymnoris dentata$Petronia dentata,Bush Petronia$Sahel Bush Sparrow
Live Birds,Live birds,A1AKB#F02.A0EJX,Bridled Tern (as animal),Onychoprion anaethetus$Sterna anaethetus,
Live Molluscs,Live molluscs,A11CL#F02.A0EJR,Discrepant venus (as animal),Gafrarium dispar,Circe mouchetée
Live fishes,Live fishes,A0FHJ#F02.A0EJV,Megachasmidae (as animal),Megachasmidae,
Live fishes,Live fishes,A0909#F02.A0EJV,Ornate emperor (as animal),Lethrinus ornatus,Empereur orné$Emperador ornado$Ornate Emperor
live plants,Live plants,A13JK#F02.A0BA0,Albizia lebbeck (L.) Benth. (as plant),Albizia lebbeck (L.) Benth.,
live plants,Live plants,A15GR#F02.A0BA0,Pueraria montana var. chinensis (Ohwi) Sanjappa & Pradeep (as plant),Pueraria montana var. chinensis (Ohwi) Sanjappa & Pradeep$Pueraria thomsonii Benth.,
LIVE FISHES,Live fishes,A0X0D#F02.A0EJV,Bullhorn gurnard (as animal),Lepidotrigla bispinosa,Grondin taureau
LIVE FISHES,Live fishes,A0XEZ#F02.A0EJV,Neocentropogon (generic) (as animal),Neocentropogon spp.,
LIVE FISHES,Live fishes,A0GRB#F02.A0EJV,Clupeoides (generic) (as animal),Clupeoides spp.,
"PORRIDGE, RYE GRAIN, DRYING, FA-06.3 BREAKFAST CEREALS","Porridge, Rye grain, Drying, FA-06.3 Breakfast cereals",A00ES#F02.A0F7Y$F04.A001K$F28.A07KG$F33.A0C46,Rye porridge,,
Soups dry or concentrated preparations with Potatoes with Drying,"Soups dry or concentrated preparations, Potatoes, Drying",A0B9V#F02.A0EQH$F04.A00ZT$F28.A07KG,"Potato soup, dry",,
Live fishes,Live fishes,A0Q2S#F02.A0EJV,Percidae (as animal),Percidae,
live fishes,Live fishes,A0VEE#F02.A0EJV,Andamia (generic) (as animal),Andamia spp.,
live fishes,Live fishes,A0M5L#F02.A0EJV,Astroblepus chotae (as animal),Astroblepus chotae,
Chia that is Feed-related and Animal feed and Chia seed,"Chia, Feed-related, Animal feed, Chia seed",A18VY#F01.A16GA$F02.A0F0Y$F23.A07TV$F27.A18VY,Chia seed (feed),,
Live Birds,Live birds,A1ARJ#F02.A0EJX,Crested Duck (as animal),Lophonetta specularioides$Anas specularioides,
"Raspberries, Soft drinks, FA-14.1.4 Flavoured drinks","Soft drinks, Raspberries, FA-14.1.4 Flavoured drinks",A03ET#F02.A06HJ$F04.A01EP$F33.A0C1T,"Fruit soft drink, raspberry",,
live fishes,Live fishes,A0T9C#F02.A0EJV,Butterfly goby (as animal),Amblygobius albimaculatus,
LIVE FISHES,Live fishes,A0J0A#F02.A0EJV,Luminous lanternfish (as animal),Lampadena luminosa,
live plants,Live plants,A17GT#F02.A0BA0,Cedrus deodara (Roxb. ex D.Don) G.Don (as plant),Cedrus deodara (Roxb. ex D.Don) G.Don,
Live fruit plants,Live fruit plants,A060R#F02.A0EKF,Crowberry (as plant),Empetrum L.spp.,
live birds,Live birds,A19XN#F02.A0EJX,White-tailed Lapwing (as animal),Vanellus leucurus$Chettusia leucura$Chettusia leucura leucura$Charadrius leucurus,White-tailed Plover
"YARROW, FEED-RELATED, ANIMAL FEED, milfoil SEED","Yarrow, Feed-related, Animal feed, Yarrow seed",A0BKS#F01.A0DZE$F02.A0F0Y$F23.A07TV$F27.A0BKS,Yarrow seed (feed),,
LIVE FISHES,Live fishes,A0G4S#F02.A0EJV,Raja heemstrai (as animal),Raja heemstrai,
live birds,Live birds,A1AYR#F02.A0EJX,Yellow-tailed Black Cockatoo (as animal),Zanda funerea$Calyptorhynchus funereus,Yellow-tailed Black-cockatoo$Yellow-tailed Black-Cockatoo
LIVE BIRDS,Live birds,A18TX#F02.A0EJX,Roseate Spoonbill (as animal),Platalea ajaja$Ajaia ajaja ajaja,
live fishes,Live fishes,A08DX#F02.A0EJV,One spot seabream (as animal),Diplodus sargus kotschyi Steindachner,
"beer-like beverages, beer, soft drinks with child amounts of fruits or flavours, beer production, fa-14.2.1 beer and malt beverages","Beer-like beverages, Beer, Soft drinks with minor amounts of fruits or flavours, Beer production, FA-14.2.1 Beer and malt beverages",A03MQ#F02.A0ENJ$F04.A03MB$F04.A0EQN$F28.A0C01$F33.A0C1N,Shandy,,
Live fishes,Live fishes,A08GM#F02.A0EJV,Bobo croaker (as animal),Pseudotolithus elongatus,Otolithe bobo$Corvina bobo$Bobo Croaker
Live Fishes,Live fishes,A0XEN#F02.A0EJV,Coccotropsis gymnoderma (as animal),Coccotropsis gymnoderma,
Fruit / vegetable compotes,"Fruit / vegetable compotes, Apricots, Cooking and similar thermal preparation processes, FA-04.2.4.2 Compote, excluding products covered by category 16",A01PH#F02.A0ERS$F04.A01GF$F28.A0BA1$F33.A0C4P,"Fruit compote, apricot",,
Live Plants,Live plants,A14DM#F02.A0BA0,Diplopterys cabrerana (Cuatrec.) B.Gates (as plant),Diplopterys cabrerana (Cuatrec.) B.Gates,
Live fishes,Live fishes,A0T3A#F02.A0EJV,Longfin burrower (as animal),Apodocreedia vanderhorsti,
live plants,Live plants,A15DY#F02.A0BA0,Piper pyrifolium Vahl (as plant),Piper pyrifolium Vahl,
LIVE FISHES,Live fishes,A0VYG#F02.A0EJV,Zebra turkeyfish (as animal),Dendrochirus zebra,
live plants,Live plants,A157D#F02.A0BA0,Nicotiana tabacum L. (as plant),Nicotiana tabacum L.,
"Feed-related, Reproductive pig feed","Feed-related, Reproductive pig feed",A16AG#F02.A0F0Y$F23.A18ED,Sows / Complete feed (feed),,
LIVE FISHES,Live fishes,A0NHS#F02.A0EJV,Alfaro (generic) (as animal),Alfaro spp.,
live crustaceans,Live crustaceans,A0AHA#F02.A0EJQ,Notostomus (generic) (as animal),Notostomus spp.,Spiny Ridge
Live molluscs,Live molluscs,A11JH#F02.A0EJR,Mactrotoma antecedens (as animal),Mactrotoma antecedens,
LIVE MOLLUSCS,Live molluscs,A114B#F02.A0EJR,Many ribbed ark (as animal),Anadara multicostata,Arche rayonnante$Arca piangua
Live Fishes,Live fishes,A07ZZ#F02.A0EJV,Hilda's grunter (as animal),Amarginops hildae,
LIVE FISHES,Live fishes,A0YAE#F02.A0EJV,Acreichthys (generic) (as animal),Acreichthys spp.,
LIVE INSECTS AND ARACHNIDS,Live insects and arachnids,A196C#F02.A0EJP,Culicoides (as animal),Culicoides,
Feed-related,"Feed-related, Animal feed",A0BSH#F02.A0F0Y$F23.A07TV,Starch mixture (feed),,
LIVE FISHES,Live fishes,A0RQT#F02.A0EJV,Stigmatochromis modestus (as animal),Stigmatochromis modestus,
"Cucurbits, Inedible Peel, Feed-Related, Animal Feed, Pumpkin And Squash Seed","Cucurbits, inedible peel, Feed-related, Animal feed, Pumpkin and squash seed",A0D1S#F01.A05DN$F02.A0F0Y$F23.A07TV$F27.A0D1S,Pumpkin and squash seed (feed),Cucurbita pepo L. Styrian Hulless Group,
live plants,Live plants,A14MQ#F02.A0BA0,Galium aparine L. (as plant),Galium aparine L.,
Ready-to-eat meal for infants and young children,"Ready-to-eat meal for infants and young children, Cereal grains and similar and primary derivatives thereof, Ready-to-eat, Infant or toddler food, FA-13.1.4 Other foods for young children, FA-13.1.3 Processed cereal-based foods and baby foods for infants and young children as defined by Commission Directive 2006/125/EC",A03RE#F02.A06FL$F04.A0EZF$F10.A07VP$F23.A07TF$F33.A0C27$F33.A0C28,Ready-to-eat cereal-based meal for children,,
Live plants,Live plants,A14ML#F02.A0BA0,Fumaria muralis Sond. ex W.D.J.Koch (as plant),Fumaria muralis Sond. ex W.D.J.Koch,
Live fishes,Live fishes,A0XTP#F02.A0EJV,Parachirus (generic) (as animal),Parachirus spp.,
LIVE FISHES,Live fishes,A0HCD#F02.A0EJV,Olympic mudminnow (as animal),Novumbra hubbsi,
Pheasant  Live birds  Breeding purpose  Parent breeding animal,"Pheasant, Live birds, Breeding purpose, Parent breeding animal",A0CCH#F01.A058G$F02.A0EJX$F29.A0C7F$F30.A0C7L,Parent Pheasant breeding flock (as animals),,
live fishes,Live fishes,A0JNK#F02.A0EJV,Sternarchogiton (generic) (as animal),Sternarchogiton spp.,
Live Fishes,Live fishes,A0VYJ#F02.A0EJV,Shortfin turkeyfish (as animal),Dendrochirus brachypterus,
Cakes,"Cakes, Cheese, FA-07.2 Fine bakery wares",A00AS#F02.A0ERC$F04.A02QE$F33.A0C3Q,Cream cheese cake,,
Processed or preserved fish,"Processed or preserved fish, FA-09.2 Processed fish and fishery products including mollusks and crustaceans",A02KB#F02.A0EMQ$F33.A0C37,Processed or preserved fish (including processed offal),,
live fishes,Live fishes,A0J5T#F02.A0EJV,Cynopotamus (generic) (as animal),Cynopotamus spp.,
LIVE PLANTS,Live plants,A177Y#F02.A0BA0,Ferula gummosa Boiss. (as plant),Ferula gummosa Boiss.$Ferula galbaniflua Boiss. & Bushe,
Live fishes,Live fishes,A0XLN#F02.A0EJV,Asprocottus (generic) (as animal),Asprocottus spp.,
LIVE FISHES,Live fishes,A0YQP#F02.A0EJV,Centrophryne (generic) (as animal),Centrophryne spp.,
live fishes,Live fishes,A087S#F02.A0EJV,Chacunda gizzard shad (as animal),Anodontostoma chacunda,Alose chaconde$Sábalo chacunda
LIVE worm AND ARACHNIDS,Live insects and arachnids,A19KS#F02.A0EJP,Uranotaenia unguiculata (as animal),Uranotaenia unguiculata,
LIVE FISHES,Live fishes,A0SRC#F02.A0EJV,Lumpenella (generic) (as animal),Lumpenella spp.,
Live fishes,Live fishes,A0LJE#F02.A0EJV,Silond catfish (as animal),Silonia silondia,
LIVE FISHES,Live fishes,A0FEB#F02.A0EJV,Eudontomyzon graecus (as animal),Eudontomyzon graecus,
LIVE INSECTS AND ARACHNIDS,Live insects and arachnids,A19LF#F02.A0EJP,Ixodes redikorzevi (as animal),Ixodes redikorzevi,
LIVE FISHES,Live fishes,A0NPA#F02.A0EJV,Pygmy killifish (as animal),Leptolucania ommata,
live plants,Live plants,A15HG#F02.A0BA0,Ranunculus arvensis L. (as plant),Ranunculus arvensis L.,
Live Fishes,Live fishes,A09RX#F02.A0EJV,Tadpole fish (as animal),Raniceps raninus,Trident
Live Cereal Plants,Live cereal plants,A059T#F02.A0EJM,Indian goosegrass (as plant),Eleusine indica (L.) Gaertn,
live fishes,Live fishes,A0LFX#F02.A0EJV,Bagarius (generic) (as animal),Bagarius spp.,
Vegetable fats and oils with Grape seeds with Oil production with FA-02.1 Fats and oils essentially free from water,"Vegetable fats and oils, Grape seeds, Oil production, FA-02.1 Fats and oils essentially free from water",A037F#F02.A068M$F27.A016J$F28.A0C02$F33.A0C58,Grape seed oil,,
live plants,Live plants,A13EH#F02.A0BA0,Woodsiaceae - family (as plant),Woodsiaceae (family),
Live Crustaceans,Live crustaceans,A0YTE#F02.A0EJQ,Smilium (generic) (as animal),Smilium spp.,
live molluscs,Live molluscs,A11NB#F02.A0EJR,Freshwater clams (generic) (as animal),Corbicula spp.,Freshwater clams nei$Clams d'eau douce nca$Almejas de agua dulce nep
"FEED-RELATED, ANIMAL FEED, CEREAL GRAINS AND PRODUCTS DERIVED THEREOF","Feed-related, Animal feed, Cereal grains and products derived thereof",A0BE1#F02.A0F0Y$F23.A07TV$F27.A0BBA,Moist distillers’ grains (feed),,
Live Insects And arachnid,Live insects and arachnids,A18GV#F02.A0EJP,Asian honey bee (as animal),Apis cerana,Eastern honey bee
live fishes,Live fishes,A0YEJ#F02.A0EJV,Aspasma (generic) (as animal),Aspasma spp.,
LIVE CRUSTACEANS,Live crustaceans,A054E#F02.A0EJQ,Spiny lobsters (generic) (as animal),Palinuridae,Spiny lobsters nei$Langoustes diverses nca$Langostas diversas nep$Spiny lobster
Animal feed Feed-related,"Feed-related, Animal feed",A0BE3#F02.A0F0Y$F23.A07TV,Distillers’ grains and solubles (feed),,
live fruit plants,Live fruit plants,A0E6S#F02.A0EKF,Langsat (as plant),Lansium domesticum$Lansium parasiticum,
LIVE FISHES,Live fishes,A0VKZ#F02.A0EJV,Stanulus (generic) (as animal),Stanulus spp.,
Live fishes,Live fishes,A0S3P#F02.A0EJV,Suezichthys (generic) (as animal),Suezichthys spp.,
LIVE FISHES,Live fishes,A0NMZ#F02.A0EJV,Leptolebias (generic) (as animal),Leptolebias spp.,
Live Fishes,Live fishes,A0XJZ#F02.A0EJV,Oriental flying gurnard (as animal),Dactyloptena orientalis,Grondin volant oriental$Alón oriental
Goat and Live mammals and Milk production purpose and Adult mammal,"Goat, Live mammals, Milk production purpose, Adult mammal",A0CDM#F01.A057P$F02.A0EJN$F29.A0C7N$F31.A0C8S,Goat for milk production (as animal),,
LIVE FISHES,Live fishes,A0HVY#F02.A0EJV,Bolinichthys distofax (as animal),Bolinichthys distofax,
Live plants,Live plants,A15ZR#F02.A0BA0,Trichosanthes kirilowii Maxim. (as plant),Trichosanthes kirilowii Maxim.,
LIVE FISHES,Live fishes,A07Y8#F02.A0EJV,Silver barb (as animal),Barbonymus gonionotus,Barbeau argenté$Barbo plateado
Live Fishes,Live fishes,A0TTM#F02.A0EJV,Thorogobius (generic) (as animal),Thorogobius spp.,
LIVE FISHES,Live fishes,A0YJA#F02.A0EJV,Perulibatrachus (generic) (as animal),Perulibatrachus spp.,
Live fishes,Live fishes,A0GXD#F02.A0EJV,Hyperlophus (generic) (as animal),Hyperlophus spp.,
live algae,Live algae,A0B6B#F02.A0EKA,Bright green nori (as organism),Ulva clathrata (Roth) C.Agardh$Enteromorpha clathrata (Roth) C.Agardh,
Live fishes,Live fishes,A0NLK#F02.A0EJV,Xenophallus (generic) (as animal),Xenophallus spp.,
LIVE FISHES,Live fishes,A0M4P#F02.A0EJV,Hoplomyzon (generic) (as animal),Hoplomyzon spp.,
LIVE FISHES,Live fishes,A0K5R#F02.A0EJV,Couesius (generic) (as animal),Couesius spp.,
live fishes,Live fishes,A0L1E#F02.A0EJV,Autanadoras milesi (as animal),Autanadoras milesi,
"Powdered or concentrated dairy products, Milk, Full fat, FA-01.5 Dehydrated milk as defined by Directive 2001/114/EC, Drying, Powder","Powdered or concentrated dairy products, Powder, Full fat, Milk, Drying, FA-01.5 Dehydrated milk as defined by Directive 2001/114/EC",A02PK#F02.A04HF$F03.A06JD$F10.A077A$F27.A02LT$F28.A07KG$F33.A0C5N,"Milk powder, full fat",,
Live fishes,Live fishes,A0QXA#F02.A0EJV,Doublebar goatfish (as animal),Parupeneus trifasciatus,
LIVE FISHES,Live fishes,A0920#F02.A0EJV,Tang's snapper (as animal),Lipocheilus carnolabrum,Vivaneau verrue$Pargo trompudo
LIVE CRUSTACEANS,Live crustaceans,A0Z0K#F02.A0EJQ,Thysanoessa spinifera (as animal),Thysanoessa spinifera,
LIVE FISHES,Live fishes,A0P6B#F02.A0EJV,Neocyttus (generic) (as animal),Neocyttus spp.,
LIVE FISHES,Live fishes,A0S4L#F02.A0EJV,Spotted wrasse (as animal),Anampses meleagrides,
"Fruit spices, FA-12.2.1 Herbs and spices, Plants, Fruits used as spice","Plants, Fruits used as spice, Fruit spices, FA-12.2.1 Herbs and spices",A018Q#F01.A058Y$F02.A0ELF$F27.A018Q$F33.A0C2M,Fruit spices,,
Live Crustaceans,Live crustaceans,A0ZTD#F02.A0EJQ,Splendid spooner (as animal),Etisus splendidus,
live fishes,Live fishes,A0RDD#F02.A0EJV,Eclectochromis festivus (as animal),Eclectochromis festivus,
LIVE CRUSTACEANS,Live crustaceans,A0Z8Y#F02.A0EJQ,Four-spines nutshell shrimp (as animal),Sclerocrangon atrox,Crevette noisette quatre épine$Quisquilla de cuatro espinas
LIVE BIRDS,Live birds,A17SR#F02.A0EJX,Falcated Duck (as animal),Mareca falcata$Anas falcata,Falcated Teal
LIVE FISHES,Live fishes,A0MGE#F02.A0EJV,Finny snake eel (as animal),Caecula pterygera,
live plants,Live plants,A17DL#F02.A0BA0,Collinsonia canadensis L. (as plant),Collinsonia canadensis L.,
know Insects And Arachnids,Live insects and arachnids,A0CLB#F02.A0EJP,Arachnids (as animal),Arachnida,
LIVE FISHES,Live fishes,A0KQB#F02.A0EJV,Percocypris (generic) (as animal),Percocypris spp.,
"Poppy, Oil seeds, Poppy seeds and similar-, FA-15.2 Processed nuts","Poppy, Oil seeds, Poppy seeds and similar-, FA-15.2 Processed nuts",A0DBR#F01.A05RX$F02.A066S$F27.A0DBR$F33.A0C19,Poppy seeds and similar-,,
"Cauliflower, flowering body, cauliflowers, fa-04.1 unprocessed fruit and vegetables","Cauliflower, Flowering body, Cauliflowers, FA-04.1 Unprocessed fruit and vegetables",A00FR#F01.A05AY$F02.A067C$F27.A00FR$F33.A0C51,Cauliflowers,Brassica oleracea L. var. botrytis L.,Cauliflower green
LIVE FISHES,Live fishes,A0SFE#F02.A0EJV,Coiidae (as animal),Coiidae,
Live fishes,Live fishes,A0M7B#F02.A0EJV,Broadbanded moray (as animal),Channomuraena vittata,Morena cinturones
LIVE MOLLUSCS,Live molluscs,A0AM9#F02.A0EJR,Littorina (as animal),Melarhaphe neritoides L.,Small periwinkle
live fishes,Live fishes,A0KXC#F02.A0EJV,Travancoria jonesi (as animal),Travancoria jonesi,
Fruit/vegetable juice ready to drink,"Fruit/vegetable juice ready to drink, Pineapples, Juicing, FA-14.1.2 Fruit juices as defined by Directive 2001/112/EC and vegetable juices",A03AF#F02.A068V$F27.A01LP$F28.A07LN$F33.A0C1X,"Juice, pineapple",,Pineapple juice
LIVE FISHES,Live fishes,A0921#F02.A0EJV,Two-spot banded snapper (as animal),Lutjanus biguttatus Valenciennes,
LIVE FISHES,Live fishes,A0VZL#F02.A0EJV,Setarches (generic) (as animal),Setarches spp.,
Live Fishes,Live fishes,A0S2H#F02.A0EJV,Novaculichthys (generic) (as animal),Novaculichthys spp.,
LIVE FISHES,Live fishes,A0GSP#F02.A0EJV,Nigerian fangtooth pellonuline (as animal),Cynothrissa mento,
LIVE FISHES,Live fishes,A0RHY#F02.A0EJV,Parananochromis caudifasciatus (as animal),Parananochromis caudifasciatus,
"LEAFY VEGETABLES, COMPACT LEAVES USED AS LEAFY VEGETABLES, LAMB'S dinero AND SIMILAR-, FA-04.1 UNPROCESSED yield AND VEGETABLES","Leafy vegetables, Compact leaves used as leafy vegetables, Lamb's lettuces and similar-, FA-04.1 Unprocessed fruit and vegetables",A0DLC#F01.A05DY$F02.A067K$F27.A0DLC$F33.A0C51,Lamb's lettuces and similar-,,
Vitamins,Vitamins,A0EXP#F02.A06FV,"Vitamin B12 (cyanocobalamin, hydroxocobalamin, methylcobalamin)",,
Live plants,Live plants,A14RP#F02.A0BA0,Heracleum candicans Wall. ex DC. (as plant),Heracleum candicans Wall. ex DC.,
"Seeds used for infusions or hot drinks, FA-05.1 Cocoa and chocolate products as covered by Directive 2000/36/EC, Cocoa beans, Cocoa","Cocoa, Seeds used for infusions or hot drinks, Cocoa beans, FA-05.1 Cocoa and chocolate products as covered by Directive 2000/36/EC",A03HF#F01.A0EDC$F02.A0ELB$F27.A03HF$F33.A0C4F,Cocoa beans (fermented or dried),Theobroma cacao L.,
Feed related Animal feed Rape seeds,"Feed-related, Animal feed, Rape seeds",A0EHY#F02.A0F0Y$F23.A07TV$F27.A0CYN,Rape seed meal feed (feed),,
Lambs reared for reproduction or meat production feed Feed-related,"Feed-related, Lambs reared for reproduction or meat production feed",A0BVA#F02.A0F0Y$F23.A18ET,Lambs (weaning diets) / Complementary feed (feed),,
Live Fishes,Live fishes,A0HMT#F02.A0EJV,Isichthys henryi (as animal),Isichthys henryi,
Live Fishes,Live fishes,A0FRA#F02.A0EJV,Triaenodon (generic) (as animal),Triaenodon spp.,
